# keld.product-status/v1
# id	owner	platform	current	current_note	current_evidence	target	target_source	issues	last_verified_sha
crate.keld-core	crate:keld-core	all	partial	Host lifecycle, hello, and macOS/Windows no-flag app sessions are implemented; Linux no-flag product boot is absent.	code:crates/keld-core/src/lib.rs;test:crates/keld-core/src/app_session.rs	specified	docs/architecture/01-overview.md	KEL-96,KEL-102	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-wv	crate:keld-wv	all	partial	WKWebView, WebView2, and WebKitGTK backends exist; persistent profile identity, the destination engine policy, and the renderer bridge remain incomplete.	code:crates/keld-wv/src/lib.rs;test:crates/keld-wv/src/engine.rs	specified	docs/architecture/05-webview-and-native.md	KEL-27,KEL-28,KEL-65,KEL-135	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-ipc	crate:keld-ipc	all	partial	kipc framing, codecs, HELLO authentication, Unix bootstrap, and the Windows named-pipe app-link are implemented; channel registry and shared-memory lanes are absent.	code:crates/keld-ipc/src/lib.rs;test:crates/keld-ipc/tests/echo_link.rs	specified	docs/architecture/02-ipc.md	KEL-30,KEL-101,KEL-133	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-guard	crate:keld-guard	all	partial	Manifest parsing, evaluation, verified startup loading, and guard-before-handler dispatch exist; generated grants and audit logging remain target behavior.	code:crates/keld-guard/src/lib.rs;test:crates/keld-guard/tests/verified_manifest.rs	specified	docs/architecture/03-security.md	KEL-69,KEL-102	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-native	crate:keld-native	all	partial	The scoped filesystem broker is guard-checked and live; the other planned native services are absent.	code:crates/keld-native/src/lib.rs;test:crates/keld-native/tests/fs_session.rs	specified	docs/architecture/05-webview-and-native.md	KEL-71	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-runtime	crate:keld-runtime	all	partial	Single-child supervision, crash accounting, macOS guardians, Windows primary generations, and the standalone Linux strict mechanism exist; full named-role and product strict admission remain absent.	test:crates/keld-runtime/src/lib.rs;code:crates/keld-runtime/src/macos_guardian.rs;test:crates/keld-runtime/tests/macos_host_death_guardian.rs;code:crates/keld-runtime/src/role.rs;test:crates/keld-runtime/tests/windows_primary_generation.rs;code:crates/keld-runtime/src/linux_strict.rs;test:crates/keld-runtime/tests/linux_strict_boundary.rs	specified	docs/architecture/06-runtime-and-tooling.md	KEL-70,KEL-75,KEL-78	51c52f6772b3587b8fe1b1023e492e419f5e242c
crate.keld-update	crate:keld-update	all	skeleton	Only the update channel contract exists; signed manifests, delta application, rollback, and feeds are not implemented.	code:crates/keld-update/src/lib.rs	specified	docs/architecture/06-runtime-and-tooling.md	KEL-53	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-pack	crate:keld-pack	all	skeleton	Only the packaging format contract exists; installers, signing, notarization, and cross-target assembly are not implemented.	code:crates/keld-pack/src/lib.rs	specified	docs/architecture/06-runtime-and-tooling.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-compat	crate:keld-compat	all	partial	Compatibility evidence types, scoring, and lifecycle conformance exist; broad Electron host emulation is absent.	code:crates/keld-compat/src/lib.rs;test:crates/keld-compat/tests/electron_lifecycle.rs	specified	docs/architecture/04-electron-compat.md	KEL-72,KEL-74	43cab25dd13b3d7379e03c4662482d3f40ea1a40
crate.keld-host	crate:keld-host	all	partial	The shipping host owns hello and macOS/Windows no-flag sessions; Linux no-flag integration and the destination registry are absent.	code:crates/keld-host/src/main.rs;test:crates/keld-host/tests/no_flag_windows.rs	specified	docs/architecture/01-overview.md	KEL-96	43cab25dd13b3d7379e03c4662482d3f40ea1a40
